,,,,,,,,,,,,,,,,,,,,,,,
,Number and percentage of public school students without disabilities receiving disciplinary actions by gender and race/ethnicity: School Year 2011-12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Discipline,Gender,Students Without Disabilities,,Race/Ethnicity of Students Without Disabilities,,,,,,,,,,,,,,English Language Learners Without Disabilities ,,Number of Schoolsa,Percent of Schools Reporting 
,,,,,,"American Indian or
Alaska Native",,Asian,,Hispanic or Latino of any race,,Black or African American,,White,,Native Hawaiian or Other Pacific Islander,,Two or more races,,,,,
,,,,Number,Percent,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,Number,Percent ,,
Disciplinary Actions,United States,,Male,"109,066 ",77.3 ,"2,480 ",1.8 ,333 ,0.2 ,"9,386 ",6.7 ,"35,782 ",25.4 ,"59,699 ",42.3 ,57 ,0.0 ,"1,329 ",0.9 ,"1,948 ",1.4 ," 95,635 ",99.9 
Disciplinary Actions,,Corporal punishment,Female,"32,073 ",22.7 ,739 ,0.5 ,70 ,0.0 ,"2,731 ",1.9 ,"13,609 ",9.6 ,"14,518 ",10.3 ,20 ,0.0 ,386 ,0.3 ,429 ,0.3 ," 95,635 ",99.9 
Disciplinary Actions,,,Total,"141,139 ",100.0 ,"3,219 ",2.3 ,403 ,0.3 ,"12,117 ",8.6 ,"49,391 ",35.0 ,"74,217 ",52.6 ,77 ,0.1 ,"1,715 ",1.2 ,"2,377 ",1.7 ," 95,635 ",99.9 
Disciplinary Actions,,,Male,"1,760,453 ",64.7 ,"21,634 ",0.8 ,"22,506 ",0.8 ,"407,853 ",15.0 ,"508,893 ",18.7 ,"755,893 ",27.8 ,"2,961 ",0.1 ,"40,713 ",1.5 ,"102,102 ",3.8 ," 95,635 ",99.6 
Disciplinary Actions,,One or more in-school suspensions,Female,"958,916 ",35.3 ,"12,859 ",0.5 ,"8,451 ",0.3 ,"224,140 ",8.2 ,"343,910 ",12.6 ,"344,138 ",12.7 ,"1,479 ",0.1 ,"23,939 ",0.9 ,"44,223 ",1.6 ," 95,635 ",99.6 
Disciplinary Actions,,,Total,"2,719,369 ",100.0 ,"34,493 ",1.3 ,"30,957 ",1.1 ,"631,993 ",23.2 ,"852,803 ",31.4 ,"1,100,031 ",40.5 ,"4,440 ",0.2 ,"64,652 ",2.4 ,"146,325 ",5.4 ," 95,635 ",99.6 
Disciplinary Actions,,,Male,"914,695 ",65.7 ,"12,788 ",0.9 ,"16,368 ",1.2 ,"220,344 ",15.8 ,"290,393 ",20.9 ,"349,819 ",25.1 ,"2,599 ",0.2 ,"22,384 ",1.6 ,"71,303 ",5.1 ," 95,635 ",99.8 
Disciplinary Actions,,Only one out-of-school suspension,Female,"477,284 ",34.3 ,"7,341 ",0.5 ,"5,040 ",0.4 ,"111,062 ",8.0 ,"195,263 ",14.0 ,"145,479 ",10.5 ,"1,249 ",0.1 ,"11,850 ",0.9 ,"27,722 ",2.0 ," 95,635 ",99.8 
Disciplinary Actions,,,Total,"1,391,979 ",100.0 ,"20,129 ",1.4 ,"21,408 ",1.5 ,"331,406 ",23.8 ,"485,656 ",34.9 ,"495,298 ",35.6 ,"3,848 ",0.3 ,"34,234 ",2.5 ,"99,025 ",7.1 ," 95,635 ",99.8 
Disciplinary Actions,,,Male,"731,131 ",69.0 ,"9,190 ",0.9 ,"6,464 ",0.6 ,"157,830 ",14.9 ,"304,995 ",28.8 ,"232,849 ",22.0 ,"1,424 ",0.1 ,"18,379 ",1.7 ,"44,304 ",4.2 ," 95,635 ",99.8 
Disciplinary Actions,,More than one out-of-school suspension,Female,"328,510 ",31.0 ,"4,402 ",0.4 ,"1,672 ",0.2 ,"60,625 ",5.7 ,"171,695 ",16.2 ,"80,996 ",7.6 ,603 ,0.1 ,"8,517 ",0.8 ,"13,232 ",1.2 ," 95,635 ",99.8 
Disciplinary Actions,,,Total,"1,059,641 ",100.0 ,"13,592 ",1.3 ,"8,136 ",0.8 ,"218,455 ",20.6 ,"476,690 ",45.0 ,"313,845 ",29.6 ,"2,027 ",0.2 ,"26,896 ",2.5 ,"57,536 ",5.4 ," 95,635 ",99.8 
Disciplinary Actions,,,Male,"1,645,856 ",67.1 ,"21,983 ",0.9 ,"22,837 ",0.9 ,"378,115 ",15.4 ,"595,471 ",24.3 ,"582,660 ",23.8 ,"4,023 ",0.2 ,"40,767 ",1.7 ,"115,584 ",4.7 ," 95,635 ",99.8 
Disciplinary Actions,,One or more out-of-school suspensions,Female,"805,619 ",32.9 ,"11,754 ",0.5 ,"6,718 ",0.3 ,"171,677 ",7.0 ,"366,932 ",15.0 ,"226,337 ",9.2 ,"1,846 ",0.1 ,"20,355 ",0.8 ,"40,952 ",1.7 ," 95,635 ",99.8 
Disciplinary Actions,,,Total,"2,451,475 ",100.0 ,"33,737 ",1.4 ,"29,555 ",1.2 ,"549,792 ",22.4 ,"962,403 ",39.3 ,"808,997 ",33.0 ,"5,869 ",0.2 ,"61,122 ",2.5 ,"156,536 ",6.4 ," 95,635 ",99.8 
Disciplinary Actions,,,Male,"38,582 ",73.4 ,649 ,1.2 ,558 ,1.1 ,"10,875 ",20.7 ,"11,648 ",22.2 ,"13,882 ",26.4 ,117 ,0.2 ,853 ,1.6 ,"2,706 ",5.1 ," 95,635 ",99.9 
